top	id	flows	u	au	ch	RM	RMt	RMm	RMp	RMh	DM	DMt	DMm	DMp	DMh	PDM	PDMt	PDMm	PDMp	PDMh	CLLF	CLLFt	CLLFm	CLLFp	CLLFh	EDF	EDFt	EDFm	EDFp	EDFh	LST	LSTt	LSTm	LSTp	LSTh	EPD	EPDt	EPDm	EPDp	EPDh	EDZL	EDZLt	EDZLm	EDZLp	EDZLh	LST_MCF	LST_MCFt	LST_MCFm	LST_MCFp	LST_MCFh	Alice	Alicet	Alicem	Alicep	Aliceh	Tasa	Tasat	Tasam	Tasap	Tasah	Random	Randomt	Randomm	Randomp	Randomh
64	2849	15	9.576	8.604	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2849	15	9.576	8.604	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2849	15	9.576	8.604	4	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2849	15	9.576	8.604	8	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2849	15	9.576	8.604	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	2850	15	4.555	3.892	1	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2850	15	4.555	3.892	2	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0
64	2850	15	4.555	3.892	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	304	4	18810	2000	1	5	3	10906	2000	1	6	4	18944	2000	1	7	4	27203	2000	1	6	4	17297	2000	1	19	4	18374	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	2850	15	4.555	3.892	8	1	3	3	7505	2000	1	3	3	7505	2000	1	4	4	7776	2000	1	113	3	8326	2000	1	3	3	7293	2000	1	4	4	8418	2000	1	4	4	9512	2000	1	4	4	8184	2000	1	10	4	8512	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	2850	15	4.555	3.892	16	1	3	3	8054	2000	1	4	3	8054	2000	1	3	4	8201	2000	1	104	4	8644	2000	1	3	3	7723	2000	1	4	4	8511	2000	1	3	4	9045	2000	1	3	4	8288	2000	1	10	4	8846	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
