1P,2P
0.923966,0.949356
0.983084,0.990160
0.972155,0.986055
0.935703,0.967195
0.935420,0.960195
0.953187,0.969243
0.919873,0.955758
0.940419,0.964817
0.917696,0.952555
0.983464,0.991256
0.937357,0.960646
0.969374,0.982785
0.935559,0.962638
0.950081,0.966848
0.892224,0.930244
0.951806,0.964106
0.951730,0.972708
0.943532,0.971077
0.975942,0.987089
0.990783,0.995043
0.920647,0.954111
0.963732,0.978713
0.954206,0.973337
0.992140,0.995779
0.969092,0.983198
0.928217,0.949227
0.983583,0.991370
0.974808,0.991051
0.984735,0.991556
0.939450,0.970684
0.959524,0.978910
0.952731,0.973364
0.977814,0.989722
0.956883,0.976416
0.875240,0.925260
0.963921,0.979865
0.962980,0.979153
0.964564,0.980938
0.922750,0.953403
0.965600,0.989572
0.967583,0.982996
0.975067,0.986020
0.951984,0.976381
0.977651,0.988320
0.967368,0.977041
0.975550,0.987887
0.958009,0.968994
0.975686,0.990598
0.928768,0.955884
0.964310,0.983515
0.970727,0.986792
0.986633,0.991712
0.981746,0.993610
0.989260,0.996049
0.940426,0.963678
0.984713,0.992541
0.971922,0.983732
0.918947,0.955407
0.966102,0.976654
0.959734,0.976376
0.970060,0.987400
0.934418,0.961913
0.979779,0.987691
0.975774,0.986975
0.971743,0.983427
0.958565,0.973429
0.970650,0.986350
0.919080,0.947492
0.971473,0.983406
0.988124,0.994797
0.934967,0.961407
0.958400,0.978175
0.918153,0.952780
0.915395,0.953696
0.946148,0.963732
0.922701,0.956132
0.919744,0.954879
0.951230,0.974215
0.979966,0.993414
0.987889,0.998055
0.915207,0.951008
0.956253,0.978996
0.955288,0.968751
0.961506,0.976921
0.915444,0.954351
0.945603,0.970902
0.922710,0.953720
0.929052,0.957482
0.923540,0.953453
0.946205,0.969311
0.904688,0.946124
0.953468,0.973353
0.954244,0.971750
0.990069,0.995533
0.969821,0.983974
0.914794,0.963040
0.979954,0.993400
0.888673,0.933361
0.943309,0.979448
0.921924,0.953863
0.922279,0.951207
0.906279,0.948485
0.937744,0.965888
0.946849,0.982644
0.931867,0.972123
0.958535,0.987830
0.901718,0.943258
0.945350,0.968380
0.953571,0.967516
0.979761,0.988228
0.964167,0.979726
0.935348,0.968157
0.988379,0.993845
0.861222,0.913508
0.945523,0.961882
0.931774,0.967846
0.885574,0.931936
0.969425,0.980520
0.917411,0.951572
0.917169,0.956200
0.965551,0.981160
0.958442,0.976985
0.975090,0.986525
0.956647,0.976051
0.911950,0.951634
0.976414,0.991784
0.986849,0.992633
0.988995,0.994325
0.981092,0.993182
0.914801,0.963825
0.954177,0.978346
0.946525,0.968210
0.973249,0.984844
0.979983,0.986886
0.932380,0.960431
0.961593,0.981672
0.980106,0.989176
0.985319,0.992251
0.962825,0.979037
0.977473,0.990750
0.954302,0.979998
0.955271,0.976893
0.971069,0.981453
0.963027,0.975957
0.972735,0.983976
0.981533,0.987332
0.977669,0.988010
0.982319,0.989546
0.939749,0.969309
0.982958,0.995865
0.985509,0.990719
0.975358,0.986595
0.983618,0.991978
0.952356,0.970217
0.941912,0.967224
0.970957,0.983333
0.967777,0.980542
0.973518,0.980940
0.982131,0.990962
0.971293,0.983562
0.945981,0.960323
0.972343,0.984773
0.937055,0.963814
0.907118,0.944907
0.898207,0.942747
0.891433,0.936387
0.905570,0.943198
